38,38,38,27,27,27,226,243,259,259,230,3,3,-3,1440,1440,382,414,426,432,434,434,432,423,407,3
38,33,33,27,27,168,213,230,234,230,208,-3,-9,-9,1440,1440,382,410,423,429,432,429,423,420,407,9
38,33,33,27,33,172,195,213,213,200,191,-9,-15,-21,-27,1440,372,401,414,420,423,420,414,407,395,3
38,27,27,21,21,168,181,191,200,186,-15,-15,-21,-27,-40,1440,362,385,401,407,414,407,401,388,382,3
33,33,27,21,15,153,177,181,181,168,-21,-21,-21,-33,-52,-59,1440,366,385,392,392,388,388,369,-15,3
38,27,27,15,15,158,163,172,163,153,-21,-27,-33,-40,-59,-72,1440,345,369,376,379,376,366,-33,-27,3
38,33,27,15,9,109,144,149,149,119,-27,-40,-40,-46,-66,-72,-79,1440,331,355,352,342,320,-52,-27,-3
33,27,21,15,9,98,139,139,129,114,-33,-40,-40,-46,-72,-72,-92,-99,-99,-52,-46,-52,-79,-52,-27,-3
33,21,21,15,9,109,129,134,119,-46,-40,-40,-52,-52,-72,-79,-92,-99,-106,-52,-40,-59,-85,-59,-27,-3
33,21,15,9,9,1440,119,114,114,-33,-40,-46,-46,-66,-72,-85,-92,-106,-106,-66,-52,-59,-79,-59,-27,-9
33,21,15,9,-9,77,104,104,93,-40,-46,-46,-59,-66,-79,-85,-92,-106,-106,-72,-46,-59,-79,-59,-33,-3
33,27,15,3,-9,-9,82,88,77,-46,-46,-52,-66,-66,-79,-85,-92,-106,-92,-72,-52,-59,-79,-59,-33,-9
33,27,15,-3,-3,-9,77,77,72,-52,-52,-59,-66,-66,-79,-85,-92,-99,-99,-66,-52,-52,-79,-59,-33,-9
27,15,9,-3,-9,-15,61,66,55,-52,-59,-66,-72,-66,-79,-85,-92,-99,-85,-59,-52,-59,-79,-59,-33,-9
33,15,9,3,-15,-27,33,50,33,-66,-66,-66,-66,-66,-79,-92,-85,-99,-92,-52,-52,-52,-79,-52,-33,-9
33,15,9,-3,-15,-27,3,33,27,-66,-66,-72,-72,-72,-79,-85,-85,-92,-99,-52,-46,-52,-79,-52,-33,-9
27,15,3,-15,-21,-33,-27,15,15,-72,-72,-72,-72,-72,-79,-85,-85,-92,-85,-52,-40,-46,-66,-52,-27,-9
33,15,9,-15,-27,-40,-46,-3,9,-79,-72,-72,-72,-72,-79,-79,-85,-85,-92,-72,-33,-27,-72,-46,-27,-9
21,15,3,-9,-21,-40,-59,-15,9,9,-85,-85,-79,-72,-79,-79,-79,-79,-85,-72,-46,-21,-59,-46,-33,-9
27,15,-3,-15,-33,-40,-52,-15,3,9,-85,-72,-72,-72,-72,-79,-79,-79,-85,-79,-59,-33,-46,-52,-27,-9
27,15,-9,-15,-33,-52,-66,-33,-21,-3,-79,-72,-72,-66,-72,-72,-72,-72,-79,-79,-59,-52,-52,-40,-27,-9
27,15,3,-15,-33,-46,-66,-66,-79,-85,-85,-72,-66,-66,-72,-72,-72,-72,-72,-79,-66,-52,-59,-40,-27,-9
27,9,-3,-15,-27,-40,-59,-72,-79,-85,-72,-72,-66,-66,-72,-72,-66,-66,-66,-72,-52,-52,-52,-33,-27,-9
21,9,-3,-15,-21,-33,-52,-66,-72,-66,-66,-66,-59,-52,-52,-59,-59,-59,-59,-59,-59,-59,-52,-33,-21,-9
33,15,3,-9,-21,-33,-40,-52,-52,-59,-59,-52,-46,-46,-52,-52,-52,-52,-52,-52,-52,-52,-40,-33,-21,-9
27,9,3,-9,-15,-27,-33,-46,-46,-46,-40,-46,-46,-46,-52,-46,-46,-46,-46,-46,-46,-46,-33,-33,-21,-9
27,9,9,-9,-15,-15,-21,-40,-40,-40,-40,-40,-40,-40,-46,-46,-46,-40,-46,-40,-33,-33,-33,-27,-21,-9
27,15,9,-9,-9,-9,-15,-27,-33,-33,-33,-33,-27,-33,-40,-40,-33,-40,-27,-33,-27,-27,-27,-21,-21,-9
27,9,9,3,-3,-9,-9,-21,-21,-21,-21,-21,-21,-21,-33,-27,-27,-27,-27,-27,-27,-27,-27,-21,-9,-9
21,15,15,9,-3,-3,-9,-15,-15,-21,-21,-15,-15,-15,-21,-27,-21,-21,-21,-21,-21,-27,-15,-15,-9,-9
27,21,15,9,9,3,3,-9,-9,-9,-9,-9,-9,-3,-21,-21,-21,-15,-21,-15,-21,-21,-15,-15,-9,-9
27,27,15,15,9,15,9,3,-9,-3,-3,3,-3,3,-15,-9,-9,-9,-15,-9,-3,-15,-9,-9,-9,-9
33,27,15,15,15,15,9,3,3,3,3,3,3,3,-3,-3,-3,-3,-3,-3,-9,-9,-3,-9,-3,-3
27,27,21,27,15,21,15,9,15,9,9,9,9,9,3,3,3,3,3,-3,-3,-9,-3,-3,-3,3
33,27,27,27,21,21,15,15,21,15,15,15,21,15,3,3,9,3,9,3,3,-3,-3,3,-3,-3
33,27,27,33,33,27,33,21,27,21,27,21,21,15,15,15,9,9,9,3,9,-3,-3,-9,-9,-9
