38,33,33,27,27,21,21,15,9,9,3,9,3,-9,-15,-3,-15,-21,-27,-40,-33,-27,-9,-3,9,15
38,38,27,27,27,21,9,27,9,88,82,88,72,55,27,15,-3,-15,-27,-46,-46,-40,-21,-3,3,15
38,33,27,27,139,139,144,149,134,119,114,93,77,61,33,15,-9,-21,-40,-40,-46,-40,-21,-3,3,9
38,27,191,195,177,158,158,153,149,134,104,93,66,38,-33,-21,-27,-46,-52,-46,-46,-27,-21,-9,3,15
33,200,200,191,200,177,172,153,139,124,93,72,-15,-27,-33,-46,-46,-33,-46,-52,-46,-27,-21,-3,-3,15
226,230,226,208,195,181,168,144,119,82,-21,-21,-27,-27,-46,-46,-46,-52,-46,-46,-40,-27,-21,-9,3,15
271,255,238,226,195,177,158,-15,-15,-21,-21,-27,-33,-40,-46,-46,-52,-52,-46,-46,-40,-27,-21,-9,-3,9
283,267,251,226,191,172,-3,-9,-15,-21,-21,-27,-33,-40,-46,-52,-46,-46,-46,-46,-33,-27,-15,-9,3,3
302,279,247,213,181,3,-9,-15,-21,-21,-27,-40,-40,-40,-52,-52,-52,-46,-46,-40,-33,-27,-21,-15,-3,3
317,290,230,15,3,-15,-9,-15,-21,-27,-33,-46,-40,-46,-52,-52,-46,-52,-46,-40,-33,-27,-21,-15,-3,9
317,290,15,9,-3,-9,-9,-21,-33,-40,-40,-46,-46,-52,-52,-52,-52,-52,-52,-40,-33,-27,-21,-9,-3,3
324,298,9,9,-3,-9,-21,-27,-33,-40,-46,-52,-52,-59,-66,-59,-52,-52,-46,-46,-33,-27,-21,-9,-3,3
313,279,15,9,-3,-15,-21,-27,-40,-46,-46,-59,-66,-66,-72,-66,-59,-52,-46,-40,-33,-27,-21,-15,-3,3
298,238,3,3,-9,-15,-21,-33,-46,-52,-66,-66,-72,-72,-79,-72,-66,-52,-46,-46,-33,-27,-21,-15,-3,3
324,247,9,3,-3,-21,-21,-33,-40,-59,-66,-46,-66,-59,-79,-72,-66,-52,-46,-40,-27,-27,-21,-9,-3,3
331,313,1440,3,-9,1440,349,366,404,407,414,-27,-46,-66,-72,-72,-59,-52,-46,-40,-27,-27,-21,-15,-15,3
342,320,313,331,338,1440,417,432,434,434,429,417,401,-21,-79,-79,-59,-52,-46,-46,-33,-27,-21,-21,-3,3
342,338,335,359,388,429,437,443,443,446,440,429,410,379,-79,-72,-59,-52,-46,-40,-27,-27,-21,-9,-9,3
345,349,366,385,414,437,449,452,452,452,449,437,423,385,-85,-79,-59,-52,-46,-46,-27,-27,-21,-9,-9,-3
349,352,372,392,426,437,452,455,455,452,449,440,426,395,-66,-66,-59,-46,-46,-33,-27,-27,-21,-15,-3,-3
349,349,362,385,426,440,449,452,455,452,449,437,426,398,-66,-66,-52,-46,-46,-33,-27,-27,-21,-15,-3,-3
338,335,349,379,410,440,446,446,449,449,446,437,417,382,-66,-59,-52,-46,-40,-33,-27,-27,-21,-15,-15,-3
331,320,313,290,1440,429,434,437,443,443,437,426,404,-66,-66,-59,-52,-40,-46,-27,-27,-27,-21,-15,-9,-3
324,320,302,283,200,1440,429,426,432,437,426,414,3,-59,-66,-52,-52,-46,-40,-27,-27,-27,-21,-15,-9,-3
298,298,290,251,234,204,1440,1440,414,417,27,21,3,-59,-59,-52,-46,-46,-40,-27,-27,-21,-15,-15,-15,-3
306,298,283,263,243,217,177,55,50,3,15,15,-59,-66,-59,-52,-46,-40,-33,-27,-27,-21,-21,-15,-9,-3
298,290,275,263,234,208,181,134,77,27,15,3,-59,-66,-59,-52,-46,-40,-40,-27,-21,-21,-21,-15,-15,-3
275,283,267,255,217,195,163,129,82,44,15,-9,-66,-52,-52,-46,-46,-40,-27,-27,-27,-21,-15,-9,-3,-3
27,1440,195,200,181,168,149,109,72,44,21,-27,-66,-46,-52,-46,-40,-33,-27,-21,-21,-21,-15,-9,-3,-3
27,9,3,-9,-15,-46,77,61,50,15,-9,-66,-52,-46,-46,-40,-33,-27,-21,-15,-21,-21,-3,-9,-3,-3
21,9,9,-3,-9,-21,-21,-33,-46,-46,-52,-46,-40,-33,-40,-27,-27,-21,-21,-15,-15,-21,-3,-9,-3,-3
21,21,3,3,-3,-9,-15,-21,-40,-33,-33,-33,-33,-21,-27,-27,-21,-15,-15,-15,-9,-9,-3,-3,-3,-3
27,21,9,9,3,-3,-9,-15,-15,-15,-15,-15,-21,-15,-21,-9,-15,-9,-9,-3,-3,-3,-3,-3,3,3
21,21,9,9,9,3,3,3,3,3,-3,-9,3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,3
27,21,15,21,9,9,9,9,15,9,9,9,9,9,3,3,3,3,3,3,3,3,-3,3,3,-3
27,21,21,27,27,15,15,27,21,15,21,15,15,15,3,15,3,3,3,3,9,3,-3,-3,-3,-3
