55,38,38,38,33,38,33,33,33,27,27,27,27,27,21,21,21,21,21,21,15,15,15,15,15,15
50,44,38,33,33,33,27,27,27,27,21,21,21,27,15,21,21,21,21,21,15,15,9,15,15,15
50,38,38,33,33,33,27,33,21,21,27,21,21,21,21,15,21,15,9,21,9,15,15,15,21,15
50,38,33,33,27,27,21,21,9,15,15,21,15,15,9,3,3,15,15,15,9,15,15,15,21,9
44,38,33,33,21,15,21,15,15,15,9,15,15,9,3,3,9,9,15,3,3,9,15,9,15,15
44,33,33,27,27,21,21,15,9,9,9,9,15,9,3,3,9,3,9,9,-3,9,9,9,9,15
44,33,27,27,21,15,15,9,3,3,9,9,9,9,-3,3,3,3,3,3,-3,3,3,9,15,9
44,33,27,27,15,15,9,15,3,3,3,3,3,9,-3,-3,-3,3,3,3,-3,-3,3,3,9,15
44,33,27,21,15,15,9,9,3,3,3,3,3,3,-9,-3,-3,3,3,-3,-3,-3,3,3,3,9
38,33,27,21,15,15,9,3,-3,3,3,3,3,-3,-3,-9,-3,-3,-3,-3,-3,-3,-3,-3,3,15
38,27,21,15,9,9,9,9,-9,-3,-3,-9,3,-9,-9,-3,-3,-9,-3,-3,-9,-9,-3,3,3,3
38,33,21,9,9,9,3,-9,-9,-3,-9,-9,-9,-9,-9,-9,-3,-9,-3,-3,-9,-9,-3,-3,3,-3
98,33,15,9,9,-3,-9,-3,-15,-15,-15,-9,-9,-9,-15,-15,-9,-9,-3,-3,-9,-9,-3,-3,3,-3
109,114,119,9,3,-3,-9,-9,-15,-15,-21,-15,-15,-15,-21,-15,-9,-3,-3,-3,-9,-9,-9,-3,-3,3
124,129,139,129,-3,-15,-9,-9,-21,-21,-21,-21,-21,-15,-15,-15,-15,-9,-9,-3,-9,-9,-3,-3,-3,-3
109,119,104,139,139,-15,-15,-15,-27,-21,-21,-21,-21,-15,-21,-21,-15,-9,-9,-3,-9,-9,-9,-3,-9,3
33,104,109,104,-9,-15,-15,-27,-33,-21,-27,-27,-15,-15,-27,-21,-15,-9,-3,-9,-15,-9,-9,-9,-3,-3
27,9,3,-9,-15,-21,-33,-33,-40,-33,-27,-21,-27,-21,-21,-15,-15,-15,-15,-9,-9,-15,-9,-9,-9,-3
27,9,-9,-15,-21,-33,-33,-33,-40,-40,-40,-33,-21,-21,-27,-21,-15,-15,-9,-9,-9,-9,-9,-9,-9,-3
33,9,-15,-21,-33,-33,-21,-27,-40,-52,-40,-40,-27,-21,-21,-21,-21,-9,-9,-9,-9,-9,-9,-9,-3,-3
27,9,-9,-27,-21,-27,-33,-33,-40,-46,-46,-33,-27,-21,-27,-21,-15,-15,-15,-9,-9,-9,-9,-3,-9,-3
27,3,-9,-21,-15,-27,-33,-33,-40,-46,-33,-40,-27,-21,-27,-21,-21,-21,-9,-9,-9,-15,-15,-9,-9,-3
21,3,-15,-33,-15,-15,-21,-27,-40,-46,-40,-40,-27,-21,-27,-27,-21,-15,-15,-9,-15,-15,-15,-9,-9,-9
21,-3,-15,-21,98,93,15,9,-40,-52,-46,-40,-33,-27,-27,-27,-21,-21,-15,-15,-21,-15,-9,-9,-9,-9
27,-3,-15,104,104,104,93,66,-40,-46,-46,-40,-27,-21,-27,-21,-21,-21,-15,-9,-21,-21,-15,-9,-9,-15
21,9,119,119,114,104,88,-40,-40,-46,-46,-33,-40,-21,-27,-21,-21,-21,-21,-15,-21,-15,-9,-15,-9,-9
124,124,124,124,109,93,-21,-33,-40,-46,-33,-33,-27,-15,-21,-21,-21,-9,-15,-21,-15,-15,-9,-9,-9,-9
144,144,124,119,109,-40,-33,-40,-46,-40,-33,-27,-21,-21,-21,-21,-21,-15,-15,-15,-21,-15,-15,-9,-9,-9
144,144,129,-15,-15,-27,-21,-21,-33,-27,-27,-21,-15,-15,-21,1440,-21,-21,-9,-9,-21,-15,-15,-15,-15,-9
144,124,-3,-9,-9,-15,-15,-15,-21,-21,-21,-21,-15,-15,-15,-21,-15,-9,-9,-3,-15,-15,-9,-15,-9,-9
139,15,3,-3,-3,-9,-9,-9,-15,-15,-15,-15,-15,-9,-21,-9,-3,-3,-9,-3,-9,-15,-9,-9,-9,-9
21,15,9,9,9,9,9,9,-15,-3,-3,-3,-3,3,-9,-3,-3,-3,-3,-3,-9,-9,-9,-9,-9,-15
27,21,15,15,9,9,9,9,3,3,3,3,3,3,-3,3,-3,-3,-3,3,-9,-9,-3,-9,-3,-9
33,21,15,15,15,15,21,15,9,9,9,3,9,9,3,3,3,3,3,-3,-9,-9,-3,-9,-9,-9
27,21,21,27,21,21,15,21,15,15,21,9,15,15,9,15,3,3,3,3,-3,-9,-9,-3,-9,-9
27,27,21,21,21,21,21,21,21,15,9,15,15,15,9,3,3,-3,3,-3,-9,-423,-433,-413,-413,-403
