44,44,38,27,33,33,33,33,27,27,21,27,27,27,15,21,21,21,15,21,21,15,15,15,15,9
44,38,33,33,33,33,33,27,27,27,27,27,27,27,21,15,21,21,21,15,15,15,15,15,15,9
44,33,38,33,33,33,33,21,21,21,27,27,21,27,15,15,15,9,9,15,15,9,15,15,15,9
38,38,33,33,27,33,27,21,21,27,21,21,15,21,15,9,9,9,9,15,15,9,9,15,15,9
33,33,33,27,27,27,33,21,21,21,15,21,21,15,3,3,9,9,9,3,3,3,9,9,9,9
44,33,33,27,27,21,21,15,15,9,9,9,9,15,3,3,9,3,9,9,9,3,3,3,9,9
38,38,33,27,21,21,27,9,9,9,15,9,9,9,3,3,3,3,3,3,3,3,3,3,9,9
38,33,33,27,27,15,15,9,9,9,9,9,9,9,3,3,3,9,3,3,3,-3,3,3,3,9
38,33,33,21,21,21,15,9,9,3,9,9,9,9,-3,3,3,3,3,-3,3,-3,-3,-3,3,3
33,33,27,21,21,15,15,9,3,3,9,9,3,9,-3,-3,-3,-3,-3,-3,3,-3,-3,-3,-3,3
38,33,27,21,15,15,15,9,3,3,3,3,3,3,-3,-3,-3,-3,-3,-3,-3,-9,-3,-3,-3,3
38,33,27,21,15,15,9,3,3,3,3,3,3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
33,33,27,15,15,9,9,3,3,-3,-3,3,3,3,-3,-3,-3,-3,-3,-3,-3,-9,-3,-3,-3,-3
33,27,27,15,15,9,9,3,-3,-3,-3,-3,-3,-3,-9,-3,-9,-3,-3,-3,-3,-9,-3,-3,-3,-3
33,27,21,21,15,9,9,-3,-3,-9,-3,-9,-9,-3,-3,-9,-3,-3,-3,-3,-3,-9,-3,-3,-3,-3
33,27,21,15,9,9,9,-9,-9,-9,-9,-15,-9,-3,-9,-9,-9,-3,-3,-3,-3,-9,-9,-3,-3,-3
33,27,21,9,9,3,3,-9,-15,-9,-15,-15,-9,-9,-9,-15,-9,-3,-3,-3,-3,-9,-3,-9,-3,-3
33,21,21,15,9,-3,-3,-15,-15,-15,-15,-9,-15,-15,-15,-15,-3,-3,-3,-3,-3,-9,-9,-3,-3,-3
33,27,15,9,3,3,-9,-15,-15,-15,-21,-15,-15,-15,-21,-15,-9,-3,-3,-3,-3,-9,-9,-9,-9,-3
33,33,15,9,3,-3,-9,-21,-21,-21,-15,-21,-21,-15,-15,-15,-15,-9,-3,-3,-3,-9,-9,-9,-3,-3
33,21,9,9,-3,-9,-9,-21,-27,-21,-21,-21,-21,-15,-21,-15,-15,-15,-9,-3,-3,-9,-9,-3,-9,-3
33,21,15,3,-3,-9,-15,-21,-27,-27,-21,-21,-21,-15,-21,-21,-21,-21,-9,-3,-3,-9,-9,-9,-9,-3
33,15,9,3,-9,-15,-21,-27,-33,-33,-27,-33,-21,-27,-27,-21,-21,-15,-15,-9,-9,-15,-15,-9,-3,-9
27,15,9,-3,-9,-15,-21,-33,-40,-40,-40,-33,-27,-21,-27,-27,-21,-15,-15,-9,-9,-9,-9,-9,-3,-9
33,15,9,3,-9,-15,-21,-40,-40,-40,-40,-40,-27,-27,-27,-21,-21,-21,-15,-9,-9,-15,-9,-3,-9,-9
27,15,3,-9,-9,-15,-33,-40,-46,-46,-46,-46,-40,-27,-33,-27,-21,-21,-21,-15,-9,-9,-9,-9,-9,-3
21,15,9,-9,-15,-27,-33,-46,-52,-52,-52,-46,-40,-40,-33,-33,-27,-21,-21,-21,-3,-9,-9,-9,-9,-3
33,9,9,-9,-15,-33,-40,-66,-66,-66,-59,-52,-40,-33,-33,-27,-27,-21,-15,-15,-9,-9,-9,-9,-9,-9
129,104,93,77,61,33,-40,-59,-72,-72,-66,-46,-40,-33,-27,-27,-21,-21,-21,-9,-9,-9,-9,-9,-9,-3
153,129,114,104,77,61,44,15,3,-15,-66,-46,-40,-33,-27,-27,-21,-15,-15,-3,-3,-9,-9,-9,-3,-9
149,129,119,98,82,72,55,27,9,-3,-59,-46,-40,-27,-27,-21,-21,-15,-9,-9,-3,-9,-9,-9,-9,-3
129,124,98,88,72,61,38,15,-9,-46,-46,-40,-27,-21,-21,-15,-15,-9,-9,-3,-3,-9,-9,-3,-9,-3
21,15,9,9,-9,-15,-27,-33,-40,-40,-27,-21,-21,-15,-15,-9,-9,-3,-3,3,-3,-3,-3,-3,-3,-3
27,21,15,9,3,3,-9,-15,-15,-15,-15,-9,-9,3,-3,-3,-3,-3,3,3,3,-3,-3,-3,-3,-3
27,27,21,21,15,9,9,9,9,3,9,9,9,9,3,3,9,3,9,9,3,-3,-3,-3,-3,-3
33,27,33,33,27,27,33,27,27,21,21,15,21,15,15,15,9,9,9,9,9,-3,-3,-3,-9,-3
