44,44,38,33,21,27,27,21,21,21,15,21,21,15,9,15,15,9,9,15,15,15,15,15,9,9
44,38,38,27,27,15,21,21,15,21,9,15,9,21,15,15,15,15,15,9,3,9,15,15,15,9
44,38,38,27,21,21,15,15,9,9,9,9,9,15,9,3,9,3,3,15,3,9,9,9,15,9
44,33,33,21,15,15,15,15,3,9,15,15,9,9,3,3,3,3,3,9,3,9,9,15,15,9
38,33,27,15,15,9,15,9,3,3,9,9,9,9,3,3,3,3,3,-3,-3,3,3,9,9,9
38,38,27,15,15,15,15,9,3,3,3,3,9,3,-3,-3,3,-3,3,-3,-9,-3,9,9,9,9
38,33,27,21,9,15,15,9,3,3,3,3,3,3,-3,-3,-3,-3,3,-3,-9,-3,-3,3,9,3
44,33,27,21,15,9,9,9,3,3,3,3,3,3,-3,-3,-3,-3,-3,-3,-9,-3,-3,3,9,9
38,33,33,15,15,15,9,9,3,3,3,3,3,3,-9,-9,-3,-3,-9,-3,-9,-9,-3,-3,9,3
38,33,21,21,15,9,9,9,-3,3,-3,-3,3,-3,-9,-9,-3,-9,-9,-9,-9,-9,-3,-3,3,-3
38,33,27,15,15,9,9,9,-3,-3,-3,-9,-3,-9,-9,-9,-9,-15,-15,-3,-9,-9,-3,-3,-3,3
38,38,27,15,15,9,9,-3,-3,-3,-3,-9,-9,-9,-15,-15,-9,-15,-9,-9,-9,-9,-9,-3,3,-9
38,27,27,15,9,9,9,9,-3,-9,-9,-3,-9,-9,-15,-15,-15,-9,-9,-9,-9,-9,-9,-3,3,-9
33,27,27,15,9,9,9,3,-9,-9,-9,-15,-15,-9,-21,-15,-21,-15,-9,-9,-21,-9,-9,-9,-3,-9
38,33,27,15,9,9,9,3,-9,-9,-9,-15,-15,-15,-21,-21,-21,-15,-15,-9,-15,-9,-9,-3,-3,-9
38,27,21,15,9,9,9,3,-9,-9,-15,-15,-15,-15,-21,-21,-21,-15,-21,-9,-15,-15,-9,-9,-3,-3
38,33,27,15,9,9,15,-3,251,267,-15,-15,-15,-15,-27,-27,-21,-21,-15,-15,-15,-9,-9,-9,-3,-9
338,345,342,335,331,324,320,313,306,294,271,-15,-21,-21,-27,-27,-21,-21,-15,-15,-15,-9,-9,-3,-3,-9
362,362,355,345,342,338,331,320,309,306,283,259,-21,-21,-33,-27,-27,-21,-21,-15,-9,-9,-9,-9,-3,-9
369,369,366,352,345,338,331,324,313,298,279,263,238,177,-33,-27,-27,-21,-21,-15,-21,-9,-9,-9,-3,-9
372,362,362,345,342,331,317,309,306,283,275,255,234,208,134,-40,-27,-27,-21,-15,-15,-15,-9,-3,-9,-9
366,352,349,338,309,302,294,294,271,267,259,234,226,200,153,114,44,-21,-21,-21,-15,-15,-9,-9,-9,-9
355,33,21,9,9,9,3,3,-9,-9,213,213,195,181,149,114,77,-27,-21,-21,-21,-15,-15,-9,-3,-9
33,27,21,9,9,9,9,3,-9,-9,-15,-15,-21,139,114,93,-33,-27,-21,-15,-21,-15,-9,-9,-3,-9
38,27,21,15,9,9,9,3,-9,-9,-15,-15,-21,-21,-27,-27,-27,-27,-21,-21,-21,-15,-15,-3,-9,-9
33,27,27,9,15,9,9,3,-9,-9,-9,-15,-15,-21,-27,-27,-21,-21,-21,-15,-21,-15,-9,-9,-9,-9
33,27,27,9,9,15,9,9,-3,-3,-9,-15,-9,-15,-21,-21,-21,-21,-21,-15,-9,-15,-9,-9,-9,-9
38,27,21,15,9,9,15,9,-3,-3,-3,-9,-9,-15,-15,-21,-21,-15,-15,-15,-21,-9,-9,-9,-9,-9
38,27,21,15,15,9,15,9,3,3,-3,-3,-3,-9,-15,-15,-9,-15,-15,-15,-15,-9,-9,-9,-9,-9
33,33,21,15,15,9,15,9,9,3,3,3,-3,3,-3,-3,-9,-9,-3,-3,-15,-9,-9,-9,-3,-9
33,33,27,21,15,15,15,15,9,3,9,3,3,3,-3,-3,-3,-3,-9,-3,-9,-9,-3,-9,-3,-9
38,33,27,15,15,21,15,15,9,9,9,9,3,9,-3,-3,-3,-3,-3,-3,-3,-9,-3,-3,-3,-15
33,33,27,27,21,15,21,21,9,9,9,9,9,9,3,3,3,3,3,3,-9,-3,-3,-3,-3,-9
38,33,27,27,21,27,27,21,15,15,15,15,9,9,3,3,9,3,3,3,-3,-3,-3,-3,3,-3
27,33,33,27,27,27,21,21,21,15,21,21,21,21,9,9,9,3,9,9,-3,-3,-3,3,3,-9
33,33,33,27,27,27,27,27,27,21,21,15,15,15,15,9,9,9,15,9,3,-3,-3,-3,-3,-9
