@attribute Std_Mem20_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute output {water60}


@data
% filename water60.wav
% srate 86.1328
-60.552691,2.985919,0.870636,1.157814,0.367940,0.413123,0.122576,0.251478,0.392697,0.127160,0.076126,0.221425,0.073657,1.323072,0.978284,0.932189,0.618069,0.481092,0.332413,0.556949,0.482645,0.315141,0.292540,0.294283,0.417631,0.247332,
-60.467514,3.114920,0.812515,1.106256,0.324772,0.390978,0.122804,0.253453,0.391149,0.153327,0.105821,0.231722,0.086791,1.288597,0.998720,0.938098,0.636627,0.477398,0.340159,0.557058,0.483297,0.314870,0.295707,0.314073,0.426384,0.259138,
-60.423133,3.209316,0.778530,1.048397,0.314412,0.389014,0.104688,0.249189,0.385333,0.150254,0.100887,0.222643,0.101848,1.253638,0.969839,0.931103,0.657559,0.468730,0.339603,0.554082,0.482429,0.314570,0.298483,0.316513,0.422870,0.272326,
-60.352829,3.328450,0.791207,1.046498,0.286039,0.358010,0.081883,0.209578,0.327069,0.123144,0.128567,0.194074,0.081483,1.207977,0.949916,0.940176,0.656532,0.454276,0.355456,0.551408,0.501213,0.392995,0.340377,0.330109,0.423664,0.281070,
-60.271216,3.414629,0.774902,1.042838,0.258414,0.348099,0.042136,0.184063,0.316705,0.154485,0.109950,0.167413,0.065135,1.155330,0.894526,0.933534,0.654631,0.437514,0.353955,0.556669,0.504243,0.392015,0.348453,0.347080,0.421460,0.284554,
-60.216924,3.499331,0.773857,1.001150,0.214506,0.315716,0.047197,0.187611,0.294505,0.144164,0.146407,0.198500,0.057704,1.102259,0.826310,0.932927,0.655717,0.422866,0.367410,0.560222,0.505943,0.395677,0.358335,0.370761,0.464293,0.283487,
-60.130059,3.600679,0.722605,0.987006,0.174316,0.339282,0.034310,0.166739,0.312412,0.154453,0.138166,0.145077,-0.011041,1.033250,0.746469,0.929240,0.649512,0.401139,0.393071,0.555219,0.505680,0.410699,0.354517,0.375793,0.489360,0.392201,
-60.040715,3.720358,0.737196,1.006351,0.136689,0.311891,0.025937,0.148077,0.263766,0.143775,0.224389,0.156726,-0.036861,0.951166,0.652958,0.940847,0.667683,0.373221,0.399542,0.551097,0.503897,0.446118,0.364666,0.508025,0.499909,0.395984,
-59.889808,3.842647,0.742842,1.023216,0.086062,0.297425,0.037047,0.150212,0.252338,0.154509,0.168998,0.060188,-0.059619,0.882689,0.519070,0.944704,0.682069,0.344821,0.397489,0.560408,0.505016,0.443799,0.360889,0.584469,0.603427,0.396147,
-59.826641,3.863839,0.721692,1.007690,0.088627,0.273953,-0.042627,0.110221,0.204692,0.171401,0.176114,0.067202,-0.038398,0.863509,0.505937,0.931360,0.667172,0.342779,0.428335,0.499717,0.460780,0.393243,0.371624,0.581006,0.597878,0.386013,
