% Created by Marsyas
@relation water43.arff
@attribute Mean_Mem20_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute output {water43}


@data
% filename water43.wav
% srate 86.1328
-63.771921,0.459098,1.913466,-0.225668,0.740157,1.158495,0.174672,1.303450,1.718364,0.433606,0.587787,0.958425,0.170928,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
-63.714674,0.502384,1.906720,-0.230464,0.715759,1.116928,0.197757,1.332263,1.699976,0.420803,0.525286,0.925216,0.151639,0.249531,0.188680,0.029406,0.020906,0.106348,0.181186,0.100625,0.125593,0.080148,0.055806,0.272437,0.144751,0.084080,
-63.402284,0.410886,1.852161,-0.330995,0.714067,1.073798,0.223824,1.376269,1.679430,0.337439,0.525992,0.926364,0.120067,1.371372,0.450096,0.238085,0.437601,0.106215,0.254137,0.147758,0.223677,0.117001,0.364720,0.272617,0.145101,0.157447,
-63.181829,0.350190,1.813030,-0.360450,0.792559,1.064088,0.252652,1.377493,1.637071,0.275814,0.533677,0.940295,0.147969,1.625145,0.516460,0.284572,0.449193,0.363917,0.254425,0.186515,0.223341,0.210908,0.439685,0.276391,0.160110,0.205960,
-62.996762,0.333137,1.763550,-0.433001,0.785341,1.060039,0.259832,1.366834,1.582199,0.242788,0.525498,0.902877,0.169007,1.753119,0.518210,0.342867,0.531251,0.366308,0.253534,0.186139,0.231557,0.304579,0.451248,0.277088,0.225568,0.227584,
-62.684554,0.205145,1.704326,-0.331557,0.691134,1.073934,0.304414,1.311594,1.568278,0.191135,0.542462,0.907752,0.174287,2.107465,0.739970,0.407975,0.720985,0.557962,0.265864,0.254591,0.344383,0.304400,0.484360,0.290445,0.227758,0.228789,
-62.394419,0.128870,1.625302,-0.282943,0.604930,1.133354,0.389456,1.302789,1.557672,0.153466,0.513387,0.917259,0.172263,2.325905,0.786991,0.502036,0.758300,0.666378,0.384469,0.424453,0.346721,0.302676,0.493251,0.312706,0.233570,0.228989,
-62.101454,0.083170,1.558223,-0.231731,0.612930,1.095958,0.351893,1.266704,1.468775,0.106585,0.505581,0.905948,0.146170,2.496688,0.793003,0.546693,0.794176,0.668909,0.415339,0.472340,0.380670,0.461727,0.508714,0.312700,0.236758,0.255816,
-61.833502,0.048611,1.482822,-0.238214,0.532272,1.104115,0.397186,1.207426,1.392276,0.059522,0.505380,0.931657,0.119059,2.588901,0.790924,0.594410,0.794629,0.741974,0.418080,0.496014,0.455320,0.534973,0.519704,0.312648,0.267041,0.279401,
-61.609236,0.100820,1.431413,-0.177355,0.462906,1.110120,0.420225,1.127585,1.318012,-0.004544,0.474711,0.942444,0.136832,2.605490,0.848655,0.599383,0.838651,0.783010,0.419677,0.495844,0.559554,0.585278,0.547854,0.332513,0.272211,0.293106,
-61.399853,0.090786,1.414667,-0.123928,0.364846,1.047640,0.385871,1.077624,1.219828,-0.048760,0.456889,0.977006,0.135548,2.591506,0.845540,0.590290,0.867415,0.861064,0.494222,0.534000,0.585622,0.668653,0.546391,0.335514,0.312889,0.293010,
