% Created by Marsyas
@relation water48.arff
@attribute Mean_Mem20_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute output {water48}


@data
% filename water48.wav
% srate 86.1328
-51.371517,6.569171,-0.238416,0.449668,0.586479,0.631718,0.631391,0.345359,-0.419585,-0.948776,-0.627173,-0.082796,0.858205,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
-51.334175,6.546004,-0.198727,0.437883,0.548540,0.629660,0.646523,0.373818,-0.412017,-0.962179,-0.645572,-0.075635,0.862064,0.162772,0.100982,0.173000,0.051370,0.165371,0.008971,0.065959,0.124049,0.032989,0.058421,0.080198,0.031214,0.016822,
-51.387942,6.533559,-0.203101,0.457735,0.506670,0.636311,0.636271,0.361632,-0.418431,-0.945564,-0.624523,-0.042356,0.874808,0.292299,0.112086,0.175042,0.102932,0.239747,0.030795,0.081593,0.137488,0.044351,0.095414,0.124998,0.146767,0.057184,
-51.477146,6.567597,-0.213291,0.486146,0.445861,0.602707,0.566564,0.322901,-0.384674,-0.878273,-0.634220,-0.079228,0.827244,0.483422,0.192353,0.182571,0.159603,0.343556,0.150706,0.315690,0.220603,0.153428,0.307739,0.132146,0.224398,0.218710,
-51.546326,6.443739,-0.223632,0.402344,0.361469,0.584024,0.513450,0.357188,-0.344052,-0.765112,-0.527384,-0.043687,0.820620,0.556788,0.572787,0.189430,0.406224,0.479181,0.168107,0.382591,0.269336,0.228158,0.567494,0.485625,0.272216,0.219676,
-51.635107,6.396583,-0.227541,0.476943,0.254889,0.608239,0.496481,0.308283,-0.279561,-0.694209,-0.537013,-0.036356,0.781073,0.654777,0.598752,0.190498,0.527078,0.630458,0.204232,0.384505,0.345167,0.348335,0.625719,0.489403,0.273037,0.273861,
-51.658953,6.330914,-0.294506,0.462335,0.205460,0.643057,0.473779,0.275062,-0.275793,-0.640969,-0.525198,-0.030179,0.743481,0.653426,0.646353,0.350639,0.531660,0.641186,0.257641,0.389245,0.371008,0.347206,0.646740,0.489936,0.273314,0.309920,
-51.645694,6.321888,-0.304605,0.464147,0.113997,0.632558,0.404902,0.249234,-0.264624,-0.576737,-0.507213,-0.020418,0.701632,0.661761,0.644220,0.351785,0.531676,0.707365,0.262129,0.468974,0.383002,0.345991,0.676106,0.492457,0.274742,0.346012,
-51.615620,6.255883,-0.219630,0.382099,0.027476,0.632755,0.392269,0.279358,-0.245611,-0.527201,-0.504716,-0.016227,0.646768,0.686734,0.682020,0.521724,0.642620,0.748890,0.262130,0.466097,0.411975,0.347398,0.683289,0.491969,0.274398,0.399669,
-51.581963,6.211267,-0.158588,0.345205,0.012425,0.594541,0.322952,0.238799,-0.218109,-0.457042,-0.528151,-0.002534,0.596140,0.713834,0.689215,0.583694,0.658662,0.740482,0.310703,0.524774,0.442296,0.354242,0.707992,0.508142,0.277550,0.432465,
-51.576212,6.242393,-0.117806,0.397496,-0.048034,0.562545,0.304759,0.188132,-0.209465,-0.389853,-0.486120,0.008480,0.532090,0.715966,0.718126,0.604804,0.704779,0.740506,0.337060,0.520052,0.483324,0.351318,0.721766,0.532400,0.278515,0.481042,
